Homicide Rate,Country,Guns per 100 People
0.0,Andorra,
7.5,Anguilla(UK),
11.2,Antigua and Barbuda,
3.9,Aruba(Netherlands),
7.7,Bermuda(UK),
8.4,British Virgin Islands(UK),
14.7,Cayman Islands(UK),
3.1,Cook Islands,
21.1,Dominica,
13.3,French Guiana(France),
0.4,French Polynesia(France),
19.4,Greenland(Denmark),
7.5,Grenada,
7.9,Guadeloupe(France),
2.5,Guam(US),
0.9,Hong Kong,
1.1,"Ireland, Republic of",
8.2,Kiribati,
2.2,Kosovo,
2.7,Liechtenstein,
1.0,Macao,
1.6,Macedonia,
2.7,Martinique(France),
6.0,Mayotte(France),
4.6,Micronesia,
0.0,Monaco,
20.4,Montserrat(UK),
15.2,Myanmar,
1.3,Nauru,
3.3,New Caledonia(France),
3.6,Niue,
3.1,Palau,
18.5,Puerto Rico(US),
1.8,R̩union(France),
33.6,Saint Kitts and Nevis,
21.6,Saint Lucia,
16.5,Saint Pierre and Miquelon(France),
25.6,Saint Vincent and the Grenadines,
3.6,Samoa,
0.0,San Marino,
3.3,Sao Tome and Principe,
14.4,South Sudan,
1.0,Tonga,
6.6,Turks and Caicos Islands(UK),
4.2,Tuvalu,
52.6,United States Virgin Islands(US),
2.9,Vanuatu,
